Reference, Value, Footprint, Datasheet, Field4, Field5
"U2","Recom_R785.0-0.5","plan44:Recom-R78Cxx","","distrelec.ch","169-07-681"
"C6","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C8","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"R5","49.9_1%","Resistors_SMD:R_0805_HandSoldering",""
"R6","49.9_1%","Resistors_SMD:R_0805_HandSoldering",""
"R7","49.9_1%","Resistors_SMD:R_0805_HandSoldering",""
"R8","49.9_1%","Resistors_SMD:R_0805_HandSoldering",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C2","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"R10","1k","Resistors_SMD:R_1206_HandSoldering","","distrelec.ch","300-56-913"
"R11","1k","Resistors_SMD:R_1206_HandSoldering",""
"MH1","CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"MH2","CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"C7","22uF 25V","Capacitors_ThroughHole:CP_Radial_D7.5mm_P2.50mm","","distrelec.ch","167-00-355"
"MH3","CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"MH4","CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"C10","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"D1","Everlight 339-1SURSYGW/S530-A3","LEDs:LED_D5.0mm-3","","distrelec.ch","175-00-713"
"R1","470","Resistors_SMD:R_1206_HandSoldering",""
"R2","1k2","Resistors_SMD:R_1206_HandSoldering","","distrelec.ch","300-56-921"
"SW1","Omron PB","Buttons_Switches_ThroughHole:SW_PUSH_6mm_h4.3mm","","distrelec.ch","110-88-847"
"R9","10k","Resistors_SMD:R_1206_HandSoldering",""
"P1","FDI_Cable","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"C17","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C16","10uF","Capacitors_ThroughHole:CP_Radial_D7.5mm_P2.50mm",""
"U1","ONION-OMEGA2S","plan44:ONION-OMEGA2S","","onion.io","Omega2S"
"Q1","IRLU2905PBF","TO_SOT_Packages_SMD:TO-252-2",""
"J3","STELVIO-2P-508","plan44:STELVIO-2P-508","","distrelec.ch","300-43-025"
"J4","STELVIO-2P-508","plan44:STELVIO-2P-508","","distrelec.ch","300-43-025"
"J1","USB_A","Connect:USB_A","","distrelec.ch","300-49-711"
"D4","DO-214AA","Diodes_SMD:D_SMB_Handsoldering","","distrelec.ch","170-13-564"
"D3","DO-214AA","Diodes_SMD:D_SMB_Handsoldering",""
"D2","DO-214AA","Diodes_SMD:D_SMB_Handsoldering",""
"R3","47R","Resistors_SMD:R_1206_HandSoldering","","distrelec.ch","300-56-961"
"R4","47R","Resistors_SMD:R_1206_HandSoldering",""
"U4","74AHCT125","SMD_Packages:SOIC-14_N","","distrelec.ch","300-22-914"
"R12","100k","Resistors_SMD:R_1206_HandSoldering",""
"P2","CONN_01X02","plan44:CONFIG-PAD-2P",""
"U3","Recom_R783.3-0.5","plan44:Recom-R78Cxx","","distrelec.ch","169-07-680"
"C14","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C13","10uF 50VDC","Capacitors_ThroughHole:CP_Radial_D7.5mm_P2.50mm","","distrelec.ch","167-00-587"
"C15","22uF 25V","Capacitors_ThroughHole:CP_Radial_D7.5mm_P2.50mm","","distrelec.ch","167-00-355"
"C12","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"R13","100k","Resistors_SMD:R_1206_HandSoldering",""
"R14","100k","Resistors_SMD:R_1206_HandSoldering",""
"R15","100k","Resistors_SMD:R_1206_HandSoldering",""
"J5","STELVIO-5P-508","plan44:STELVIO-5P-508","","distrelec.ch","300-43-017"
"P3","CONN_01X02","plan44:CONFIG-PAD-2P",""
"J2","Pulse-J0026D21B","plan44:PULSE-J0026D21B","","Fundus S.Flüeler","J0026D21B"
"C9","1nF/2kV","Capacitors_SMD:C_1206_HandSoldering","","distrelec.ch","301-11-186"
"U5","MCP3002","SMD_Packages:SOIC-8-N","","distrelec.ch","300-55-987"
"J6","STELVIO-4P-508","plan44:STELVIO-4P-508",""
"P4","CONN_01X02","plan44:CONFIG-PAD-2P",""
"P5","CONN_01X02","plan44:CONFIG-PAD-2P",""
"C11","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C4","10uF 50VDC","Capacitors_ThroughHole:CP_Radial_D7.5mm_P2.50mm","","distrelec.ch","167-00-587"
